2023-03-15 16:49:35.225 [main] INFO  myCalculator.Calculator - [FACTORIAL - 4 ]
2023-03-15 16:49:35.227 [main] INFO  myCalculator.Calculator - [FACTORIAL ANSWER - 24 ]
2023-03-15 16:49:35.227 [main] INFO  myCalculator.Calculator - [FACTORIAL - 6 ]
2023-03-15 16:49:35.227 [main] INFO  myCalculator.Calculator - [FACTORIAL ANSWER - 720 ]
2023-03-15 16:49:35.228 [main] INFO  myCalculator.Calculator - [SQUARE ROOT - 36 ]
2023-03-15 16:49:35.230 [main] INFO  myCalculator.Calculator - [SQUARE ROOT ANSWER - 6.0 ]
2023-03-15 16:49:35.230 [main] INFO  myCalculator.Calculator - [SQUARE ROOT - 64 ]
2023-03-15 16:49:35.230 [main] INFO  myCalculator.Calculator - [SQUARE ROOT ANSWER - 8.0 ]
2023-03-15 16:49:35.231 [main] INFO  myCalculator.Calculator - [LOGARITHM - 3 ]
2023-03-15 16:49:35.231 [main] INFO  myCalculator.Calculator - [LOGARITHM ANSWER - 1.0986122886681098 ]
2023-03-15 16:49:35.231 [main] INFO  myCalculator.Calculator - [LOGARITHM - 5 ]
2023-03-15 16:49:35.231 [main] INFO  myCalculator.Calculator - [LOGARITHM ANSWER - 1.6094379124341003 ]
2023-03-15 16:49:35.232 [main] INFO  myCalculator.Calculator - [FACTORIAL - 5 ]
2023-03-15 16:49:35.232 [main] INFO  myCalculator.Calculator - [FACTORIAL ANSWER - 120 ]
2023-03-15 16:49:35.232 [main] INFO  myCalculator.Calculator - [FACTORIAL - 8 ]
2023-03-15 16:49:35.232 [main] INFO  myCalculator.Calculator - [FACTORIAL ANSWER - 40320 ]
2023-03-15 16:49:35.233 [main] INFO  myCalculator.Calculator - [LOGARITHM - 5 ]
2023-03-15 16:49:35.233 [main] INFO  myCalculator.Calculator - [LOGARITHM ANSWER - 1.6094379124341003 ]
2023-03-15 16:49:35.233 [main] INFO  myCalculator.Calculator - [LOGARITHM - 6 ]
2023-03-15 16:49:35.233 [main] INFO  myCalculator.Calculator - [LOGARITHM ANSWER - 1.791759469228055 ]
2023-03-15 16:49:35.238 [main] INFO  myCalculator.Calculator - [POWER - 5 AND 2 ]
2023-03-15 16:49:35.238 [main] INFO  myCalculator.Calculator - [POWER ANSWER - 25.0 ]
2023-03-15 16:49:35.238 [main] INFO  myCalculator.Calculator - [POWER - 6 AND 2 ]
2023-03-15 16:49:35.238 [main] INFO  myCalculator.Calculator - [POWER ANSWER - 36.0 ]
2023-03-15 16:49:35.239 [main] INFO  myCalculator.Calculator - [POWER - 2 AND 2 ]
2023-03-15 16:49:35.239 [main] INFO  myCalculator.Calculator - [POWER ANSWER - 4.0 ]
2023-03-15 16:49:35.239 [main] INFO  myCalculator.Calculator - [POWER - 3 AND 3 ]
2023-03-15 16:49:35.239 [main] INFO  myCalculator.Calculator - [POWER ANSWER - 27.0 ]
2023-03-15 16:49:35.239 [main] INFO  myCalculator.Calculator - [SQUARE ROOT - 5 ]
2023-03-15 16:49:35.239 [main] INFO  myCalculator.Calculator - [SQUARE ROOT ANSWER - 2.23606797749979 ]
2023-03-15 16:49:35.240 [main] INFO  myCalculator.Calculator - [SQUARE ROOT - 6 ]
2023-03-15 16:49:35.240 [main] INFO  myCalculator.Calculator - [SQUARE ROOT ANSWER - 2.449489742783178 ]
